"","Partner.Name","Age","Gender","Airline.Status","Price.Sensitivity","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Class","Flights.Per.Year","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.time.in.minutes","Flight.Distance","Flight.cancelled","Likelihood.to.recommend"
"12","FlyHere Airways","36-46","Male","Blue","2","-0.451 to 0.0588","Personal Travel","0","Eco","13-25","5 MINS TO 10 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"13","Northwest Business Airlines Inc.","57-71","Female","Silver","1","-0.451 to 0.0588","Business travel","1","Eco","13-25","0-60 Mins","180+ Minutes","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"14","Sigma Airlines Inc.","<24","Female","Blue","2","-0.451 to 0.0588","Mileage tickets","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"15","Southeast Airlines Co.","<24","Male","Blue","1","-0.451 to 0.0588","Business travel","1+","Eco","38+","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","0"
"16","Southeast Airlines Co.","36-46","Female","Blue","2","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"17","FlyHere Airways","25-35","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco Plus","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"18","Cheapseats Airlines Inc.","25-35","Female","Silver","1","-0.451 to 0.0588","Business travel","1","Eco","13-25","0-60 Mins","60 MINS TO 180 MINS","180+ Minutes","1000.0+ MILES","No","1"
"19","Oursin Airlines Inc.","57-71","Male","Blue","1","0.3768+","Business travel","0","Eco","<6","0-60 Mins","180+ Minutes","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"20","Sigma Airlines Inc.","47-58","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Business","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"21","Sigma Airlines Inc.","25-35","Male","Blue","2","-0.451 to 0.0588","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"22","FlyToSun Airlines Inc.","47-58","Female","Blue","1","<-0.75","Business travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"23","Cheapseats Airlines Inc.","36-46","Female","Blue","3","<-0.75","Business travel","1","Eco","13-25","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"24","GoingNorth Airlines Inc.","36-46","Female","Blue","2","-0.451 to 0.0588","Business travel","1","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"25","Southeast Airlines Co.","36-46","Female","Silver","3","0.3768+","Personal Travel","1+","Eco","<6","10 MINS TO 20 MINS","5 MINS TO 10 MINS","180+ Minutes","1000.0+ MILES","No","0"
"26","Southeast Airlines Co.","25-35","Male","Blue","1","<-0.75","Business travel","1+","Eco","6-12","LESS THAN 5 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","1"
"27","Northwest Business Airlines Inc.","36-46","Male","Blue","2","<-0.75","Business travel","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"28","Cheapseats Airlines Inc.","36-46","Female","Silver","1","-0.451 to 0.0588","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"29","Sigma Airlines Inc.","47-58","Male","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","6-12","LESS THAN 5 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","0"
"30","Northwest Business Airlines Inc.","<24","Female","Blue","1","0.3768+","Business travel","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"31","Oursin Airlines Inc.","47-58","Male","Gold","1","-0.451 to 0.0588","Business travel","0","Business","13-25","20 MINS TO 60 MINS","20 MINS TO 60 MINS","180+ Minutes","1000.0+ MILES","No","0"
"32","FlyFast Airways Inc.","47-58","Female","Blue","1","-0.451 to 0.0588","Business travel","1","Eco","38+","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"33","Cheapseats Airlines Inc.","36-46","Male","Silver","1","0.3768+","Business travel","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"34","Southeast Airlines Co.","25-35","Female","Blue","1","-0.451 to 0.0588","Mileage tickets","1","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"35","Paul Smith Airlines Inc.","36-46","Female","Blue","1","<-0.75","Personal Travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"36","Northwest Business Airlines Inc.","25-35","Female","Blue","1","0.3768+","Business travel","1+","Business","6-12","0-60 Mins","180+ Minutes","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"37","Northwest Business Airlines Inc.","47-58","Female","Silver","1","-0.451 to 0.0588","Business travel","0","Eco","26-38","5 MINS TO 10 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"38","FlyFast Airways Inc.","71+","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","LESS THAN 5 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"39","FlyFast Airways Inc.","36-46","Female","Blue","1","<-0.75","Business travel","0","Eco","13-25","20 MINS TO 60 MINS","60 MINS TO 180 MINS","180+ Minutes","1000.0+ MILES","No","1"
"40","Sigma Airlines Inc.","36-46","Female","Blue","2","0.3768+","Personal Travel","1+","Eco Plus","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"41","Cheapseats Airlines Inc.","36-46","Female","Silver","1","<-0.75","Personal Travel","1+","Eco","6-12","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"42","Cheapseats Airlines Inc.","36-46","Female","Silver","1","0.3768+","Business travel","1","Business","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"43","Sigma Airlines Inc.","36-46","Male","Silver","1","0.3768+","Business travel","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"44","Northwest Business Airlines Inc.","57-71","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"45","Sigma Airlines Inc.","<24","Female","Silver","1","-0.451 to 0.0588","Business travel","0","Eco Plus","13-25","5 MINS TO 10 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"46","Paul Smith Airlines Inc.","36-46","Female","Blue","2","<-0.75","Business travel","0","Eco","6-12","5 MINS TO 10 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"47","Northwest Business Airlines Inc.","36-46","Male","Blue","1","-0.451 to 0.0588","Personal Travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"48","Sigma Airlines Inc.","57-71","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco Plus","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","0"
"49","Southeast Airlines Co.","57-71","Female","Blue","1","0.3768+","Personal Travel","0","Eco","<6","10 MINS TO 20 MINS","10 MINS TO 20 MINS","180+ Minutes","1000.0+ MILES","No","0"
"50","EnjoyFlying Air Services","36-46","Male","Blue","1","<-0.75","Business travel","1+","Eco","13-25","LESS THAN 5 MINS","10 MINS TO 20 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"51","FlyHere Airways","47-58","Female","Gold","1","-0.451 to 0.0588","Business travel","1","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"52","Northwest Business Airlines Inc.","47-58","Female","Blue","0","-0.451 to 0.0588","Business travel","0","Business","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"53","Southeast Airlines Co.","<24","Female","Blue","2","0.059 to 0.3768","Mileage tickets","0","Eco Plus","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","1"
"54","OnlyJets Airlines Inc.","57-71","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","10 MINS TO 20 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","0"
"55","Oursin Airlines Inc.","57-71","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco Plus","13-25","20 MINS TO 60 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"56","FlyToSun Airlines Inc.","71+","Female","Blue","3","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"57","GoingNorth Airlines Inc.","47-58","Male","Gold","1","<-0.75","Business travel","0","Business","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"58","Northwest Business Airlines Inc.","47-58","Male","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"59","FlyToSun Airlines Inc.","71+","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"60","Sigma Airlines Inc.","36-46","Female","Blue","1","<-0.75","Business travel","0","Eco","6-12","0","0","60 MINS TO 180 MINS","1000.0+ MILES","Yes","0"
"61","OnlyJets Airlines Inc.","71+","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","10 MINS TO 20 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"62","EnjoyFlying Air Services","25-35","Male","Silver","2","0.3768+","Business travel","0","Business","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"63","Cheapseats Airlines Inc.","47-58","Female","Blue","1","0.059 to 0.3768","Business travel","1+","Eco","6-12","LESS THAN 5 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","0"
"64","Cheapseats Airlines Inc.","25-35","Female","Blue","2","<-0.75","Business travel","1+","Business","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","400 MILES TO 1000.0 MILES","No","1"
"65","Northwest Business Airlines Inc.","47-58","Male","Silver","1","-0.451 to 0.0588","Business travel","0","Eco","38+","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"66","FlyHere Airways","47-58","Female","Gold","1","0.3768+","Personal Travel","0","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"67","Southeast Airlines Co.","<24","Female","Blue","2","<-0.75","Personal Travel","1+","Eco","13-25","5 MINS TO 10 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"68","Northwest Business Airlines Inc.","71+","Male","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"69","Cheapseats Airlines Inc.","25-35","Female","Gold","1","0.3768+","Business travel","1","Eco","13-25","10 MINS TO 20 MINS","5 MINS TO 10 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"70","Paul Smith Airlines Inc.","<24","Male","Blue","2","0.3768+","Business travel","1+","Eco","<6","LESS THAN 5 MINS","10 MINS TO 20 MINS","180+ Minutes","1000.0+ MILES","No","0"
"71","Sigma Airlines Inc.","57-71","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"72","FlyFast Airways Inc.","57-71","Male","Platinum","1","-0.451 to 0.0588","Mileage tickets","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"73","Paul Smith Airlines Inc.","36-46","Male","Blue","1","<-0.75","Business travel","1","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"74","Cool&Young Airlines Inc.","57-71","Male","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"75","Sigma Airlines Inc.","57-71","Female","Blue","2","-0.451 to 0.0588","Personal Travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"76","FlyFast Airways Inc.","25-35","Female","Blue","1","-0.451 to 0.0588","Business travel","1","Eco Plus","26-38","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"77","FlyFast Airways Inc.","<24","Male","Blue","1","0.3768+","Mileage tickets","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"78","Northwest Business Airlines Inc.","<24","Female","Blue","3","-0.451 to 0.0588","Business travel","1+","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"79","Sigma Airlines Inc.","57-71","Female","Blue","1","<-0.75","Personal Travel","0","Eco","13-25","10 MINS TO 20 MINS","60 MINS TO 180 MINS","60 MINS TO 180 MINS","LESS THAN 400 MILES","No","0"
"80","Cool&Young Airlines Inc.","47-58","Female","Silver","1","-0.451 to 0.0588","Mileage tickets","0","Eco","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"81","FlyHere Airways","25-35","Male","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"82","Southeast Airlines Co.","36-46","Female","Blue","1","0.059 to 0.3768","Business travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"83","Cheapseats Airlines Inc.","25-35","Female","Silver","1","0.059 to 0.3768","Business travel","1+","Eco Plus","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"84","Sigma Airlines Inc.","71+","Female","Gold","1","-0.451 to 0.0588","Personal Travel","0","Eco Plus","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"85","Northwest Business Airlines Inc.","25-35","Female","Blue","1","0.3768+","Business travel","1+","Eco","<6","LESS THAN 5 MINS","5 MINS TO 10 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"86","Sigma Airlines Inc.","47-58","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"87","FlyFast Airways Inc.","<24","Male","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","38+","5 MINS TO 10 MINS","5 MINS TO 10 MINS","LESS THAN 60 MINS","400 MILES TO 1000.0 MILES","No","0"
"88","Cheapseats Airlines Inc.","47-58","Male","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"89","Sigma Airlines Inc.","47-58","Male","Silver","1","<-0.75","Business travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"90","Southeast Airlines Co.","47-58","Male","Blue","3","-0.451 to 0.0588","Personal Travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"91","Southeast Airlines Co.","25-35","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"92","Southeast Airlines Co.","36-46","Female","Blue","2","0.059 to 0.3768","Personal Travel","1+","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"93","Northwest Business Airlines Inc.","47-58","Male","Silver","0","<-0.75","Business travel","1","Business","13-25","5 MINS TO 10 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"94","Cheapseats Airlines Inc.","57-71","Female","Blue","1","-0.451 to 0.0588","Personal Travel","1","Eco","13-25","5 MINS TO 10 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"95","Cool&Young Airlines Inc.","25-35","Female","Blue","1","0.3768+","Personal Travel","1+","Eco","6-12","20 MINS TO 60 MINS","20 MINS TO 60 MINS","180+ Minutes","1000.0+ MILES","No","0"
"96","Cheapseats Airlines Inc.","47-58","Male","Gold","1","-0.451 to 0.0588","Business travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"97","Sigma Airlines Inc.","57-71","Female","Blue","1","<-0.75","Business travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"98","Sigma Airlines Inc.","36-46","Female","Blue","1","-0.451 to 0.0588","Business travel","1","Business","26-38","0-60 Mins","60 MINS TO 180 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"99","Cheapseats Airlines Inc.","36-46","Female","Silver","1","0.3768+","Business travel","1+","Eco","<6","20 MINS TO 60 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","1000.0+ MILES","No","1"
"100","Sigma Airlines Inc.","71+","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"101","Northwest Business Airlines Inc.","36-46","Female","Blue","1","-0.451 to 0.0588","Business travel","1","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"102","FlyFast Airways Inc.","57-71","Female","Blue","2","<-0.75","Personal Travel","0","Eco","<6","20 MINS TO 60 MINS","20 MINS TO 60 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"103","Sigma Airlines Inc.","57-71","Female","Blue","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","5 MINS TO 10 MINS","LESS THAN 5 MINS","180+ Minutes","1000.0+ MILES","No","0"
"104","Southeast Airlines Co.","36-46","Female","Blue","2","<-0.75","Business travel","1+","Eco","26-38","20 MINS TO 60 MINS","60 MINS TO 180 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"105","FlyHere Airways","25-35","Female","Silver","1","-0.451 to 0.0588","Business travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"106","Cool&Young Airlines Inc.","36-46","Female","Silver","2","<-0.75","Mileage tickets","1+","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"107","Sigma Airlines Inc.","25-35","Female","Gold","1","-0.451 to 0.0588","Business travel","1+","Eco","13-25","LESS THAN 5 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","1"
"108","Southeast Airlines Co.","<24","Male","Blue","2","-0.451 to 0.0588","Personal Travel","1","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"109","Cheapseats Airlines Inc.","71+","Male","Platinum","1","-0.451 to 0.0588","Personal Travel","0","Eco","26-38","5 MINS TO 10 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"110","Cheapseats Airlines Inc.","47-58","Female","Silver","1","<-0.75","Personal Travel","0","Eco","6-12","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"111","Sigma Airlines Inc.","25-35","Female","Blue","2","-0.451 to 0.0588","Business travel","0","Eco","38+","10 MINS TO 20 MINS","10 MINS TO 20 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"112","Cheapseats Airlines Inc.","47-58","Male","Blue","1","-0.451 to 0.0588","Mileage tickets","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"113","FlyFast Airways Inc.","71+","Male","Silver","1","-0.451 to 0.0588","Personal Travel","0","Eco","38+","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"114","FlyFast Airways Inc.","36-46","Male","Gold","1","0.3768+","Business travel","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"115","Sigma Airlines Inc.","<24","Male","Blue","1","<-0.75","Business travel","1","Eco","<6","LESS THAN 5 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"116","Cheapseats Airlines Inc.","47-58","Male","Silver","0","0.3768+","Business travel","1","Eco","<6","10 MINS TO 20 MINS","5 MINS TO 10 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"117","Northwest Business Airlines Inc.","57-71","Male","Silver","1","<-0.75","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","No","0"
"118","FlyFast Airways Inc.","25-35","Female","Blue","0","0.3768+","Personal Travel","1+","Eco","<6","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","0"
"119","OnlyJets Airlines Inc.","57-71","Female","Blue","1","-0.451 to 0.0588","Business travel","0","Eco","26-38","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
"120","Southeast Airlines Co.","47-58","Male","Silver","1","<-0.75","Business travel","0","Eco","13-25","LESS THAN 5 MINS","LESS THAN 5 MINS","LESS THAN 60 MINS","LESS THAN 400 MILES","No","1"
