"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"11","Orlando, FL","Washington, DC","Blue","25-35","Female","2",2003,"<6","0.3768+","Personal Travel","1+",0,30,"Business",30,"1/30/14","US","Southeast Airlines Co.","Virginia","Florida",8,"LESS THAN 5 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-77.1897,38.8974,-81.4112,28.5844,NA
"12","Detroit, MI","Atlanta, GA","Blue","36-46","Male","2",2006,"13-25","-0.451 to 0.0588","Personal Travel","0",0,20,"Eco",28,"1/28/14","FL","FlyHere Airways","Georgia","Michigan",16,"5 MINS TO 10 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-84.3319,33.8241,-83.2276,42.49,NA
"13","Memphis, TN","Detroit, MI","Silver","57-71","Female","1",2006,"13-25","-0.451 to 0.0588","Business travel","1",0,30,"Eco",20,"2/20/14","OO","Northwest Business Airlines Inc.","Michigan","Tennessee",9,"0-60 Mins","180+ Minutes","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-83.2276,42.49,-89.9179,35.0951,NA
"14","Salt Lake City, UT","Seattle, WA","Blue","<24","Female","2",2005,"26-38","-0.451 to 0.0588","Mileage tickets","0",5,7,"Eco",10,"2/10/14","DL","Sigma Airlines Inc.","Washington","Utah",18,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-122.2747,47.4684,-111.9295,40.6408,NA
"15","Philadelphia, PA","Boston, MA","Blue","<24","Male","1",2012,"38+","-0.451 to 0.0588","Business travel","1+",0,40,"Eco",14,"2/14/14","US","Southeast Airlines Co.","Massachusetts","Pennsylvania",7,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","0",-71.1407,42.3731,-75.2984,39.9733,NA
"16","Chicago, IL","Philadelphia, PA","Blue","36-46","Female","2",2011,"26-38","-0.451 to 0.0588","Personal Travel","0",0,80,"Eco",8,"2/8/14","US","Southeast Airlines Co.","Pennsylvania","Illinois",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-75.2984,39.9733,-87.8954,41.8271,NA
"17","Atlanta, GA","Washington, DC","Blue","25-35","Female","1",2007,"6-12","-0.451 to 0.0588","Business travel","0",0,40,"Eco Plus",26,"3/26/14","FL","FlyHere Airways","Virginia","Georgia",14,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-77.1897,38.8974,-84.3319,33.8241,NA
"18","Las Vegas, NV","Pittsburgh, PA","Silver","25-35","Female","1",2010,"13-25","-0.451 to 0.0588","Business travel","1",0,30,"Eco",18,"1/18/14","WN","Cheapseats Airlines Inc.","Pennsylvania","Nevada",13,"0-60 Mins","60 MINS TO 180 MINS","No","180+ Minutes","1000.0+ MILES","1",-79.951,40.457,-115.1672,36.1349,NA
"19","Chicago, IL","Minneapolis, MN","Blue","57-71","Male","1",2009,"<6","0.3768+","Business travel","0",120,135,"Eco",27,"1/27/14","OU","Oursin Airlines Inc.","Minnesota","Illinois",10,"0-60 Mins","180+ Minutes","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-93.2798,44.9782,-87.8954,41.8271,NA
"20","Atlanta, GA","Tallahassee, FL","Blue","47-58","Female","1",2006,"38+","-0.451 to 0.0588","Business travel","0",0,0,"Business",11,"3/11/14","DL","Sigma Airlines Inc.","Florida","Georgia",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-84.2689,30.4732,-84.3319,33.8241,NA
"21","Madison, WI","Detroit, MI","Blue","25-35","Male","2",2008,"13-25","-0.451 to 0.0588","Business travel","0",230,190,"Eco",22,"1/22/14","DL","Sigma Airlines Inc.","Michigan","Wisconsin",13,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-83.2276,42.49,-89.4299,43.0874,NA
"22","Las Vegas, NV","Anchorage, AK","Blue","47-58","Female","1",2007,"6-12","<-0.75","Business travel","0",0,20,"Eco",2,"2/2/14","AS","FlyToSun Airlines Inc.","Alaska","Nevada",10,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","0",-149.8472,61.1679,-115.1672,36.1349,NA
"23","Phoenix, AZ","San Francisco, CA","Blue","36-46","Female","3",2004,"13-25","<-0.75","Business travel","1",0,0,"Eco",31,"3/31/14","WN","Cheapseats Airlines Inc.","California","Arizona",16,"0-60 Mins","60 MINS TO 180 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-122.1585,37.6712,-111.97,33.4941,NA
"24","Cincinnati, OH","Denver, CO","Blue","36-46","Female","2",2008,"26-38","-0.451 to 0.0588","Business travel","1",15,80,"Eco",13,"3/13/14","F9","GoingNorth Airlines Inc.","Colorado","Kentucky",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","1",-104.9551,39.7108,-84.462,39.1855,NA
"25","Phoenix, AZ","Charlotte, NC","Silver","36-46","Female","3",2010,"<6","0.3768+","Personal Travel","1+",0,37,"Eco",10,"1/10/14","US","Southeast Airlines Co.","North Carolina","Arizona",11,"10 MINS TO 20 MINS","5 MINS TO 10 MINS","No","180+ Minutes","1000.0+ MILES","0",-80.8158,35.2497,-111.97,33.4941,NA
"26","Philadelphia, PA","Boston, MA","Blue","25-35","Male","1",2009,"6-12","<-0.75","Business travel","1+",0,45,"Eco",10,"2/10/14","US","Southeast Airlines Co.","Massachusetts","Pennsylvania",5,"LESS THAN 5 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","1",-71.1407,42.3731,-75.2984,39.9733,NA
"27","Salt Lake City, UT","Vernal, UT","Blue","36-46","Male","2",2007,"<6","<-0.75","Business travel","1+",0,105,"Eco",27,"3/27/14","OO","Northwest Business Airlines Inc.","Utah","Utah",12,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-109.548,40.4468,-111.9295,40.6408,NA
"28","Phoenix, AZ","Sacramento, CA","Silver","36-46","Female","1",2003,"13-25","-0.451 to 0.0588","Business travel","0",175,70,"Eco",20,"1/20/14","WN","Cheapseats Airlines Inc.","California","Arizona",8,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-121.3247,38.6386,-111.97,33.4941,NA
"29","Atlanta, GA","Cincinnati, OH","Blue","47-58","Male","1",2005,"6-12","-0.451 to 0.0588","Business travel","0",290,35,"Eco",7,"1/7/14","DL","Sigma Airlines Inc.","Kentucky","Georgia",9,"LESS THAN 5 MINS","10 MINS TO 20 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","0",-84.462,39.1855,-84.3319,33.8241,NA
"30","El Paso, TX","Phoenix, AZ","Blue","<24","Female","1",2011,"<6","0.3768+","Business travel","1+",0,120,"Eco",16,"3/16/14","OO","Northwest Business Airlines Inc.","Arizona","Texas",21,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-111.97,33.4941,-106.389,31.7802,NA
"31","Los Angeles, CA","Houston, TX","Gold","47-58","Male","1",2005,"13-25","-0.451 to 0.0588","Business travel","0",0,65,"Business",31,"3/31/14","OU","Oursin Airlines Inc.","Texas","California",14,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","180+ Minutes","1000.0+ MILES","0",-95.3935,29.7843,-118.1043,33.9827,NA
"32","Washington, DC","Charleston, SC","Blue","47-58","Female","1",2012,"38+","-0.451 to 0.0588","Business travel","1",31,331,"Eco",1,"1/1/14","EV","FlyFast Airways Inc.","South Carolina","Virginia",19,"0-60 Mins","60 MINS TO 180 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-80.0155,32.9023,-77.1897,38.8974,NA
"33","Dallas, TX","San Antonio, TX","Silver","36-46","Male","1",2005,"<6","0.3768+","Business travel","1+",0,115,"Eco",9,"3/9/14","WN","Cheapseats Airlines Inc.","Texas","Texas",12,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","1",-98.4754,29.5144,-96.972,32.8127,NA
"34","Reno, NV","Phoenix, AZ","Blue","25-35","Female","1",2011,"13-25","-0.451 to 0.0588","Mileage tickets","1",45,120,"Eco",17,"3/17/14","US","Southeast Airlines Co.","Arizona","Nevada",16,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-111.97,33.4941,-119.7959,39.5326,NA
"35","Miami, FL","Orlando, FL","Blue","36-46","Female","1",2005,"13-25","<-0.75","Personal Travel","1+",90,45,"Eco",1,"3/1/14","AA","Paul Smith Airlines Inc.","Florida","Florida",20,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-81.4112,28.5844,-80.2314,26.1756,NA
"36","San Francisco, CA","Aspen, CO","Blue","25-35","Female","1",2008,"6-12","0.3768+","Business travel","1+",105,0,"Business",17,"2/17/14","OO","Northwest Business Airlines Inc.","Colorado","California",8,"0-60 Mins","180+ Minutes","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-106.8403,39.1993,-122.1585,37.6712,NA
"37","Rapid City, SD","Salt Lake City, UT","Silver","47-58","Female","1",2006,"26-38","-0.451 to 0.0588","Business travel","0",0,55,"Eco",21,"1/21/14","OO","Northwest Business Airlines Inc.","Utah","South Dakota",13,"5 MINS TO 10 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-111.9295,40.6408,-103.2446,44.0837,NA
"38","Atlanta, GA","Manchester, NH","Blue","71+","Male","1",2003,"38+","-0.451 to 0.0588","Personal Travel","0",0,60,"Eco",1,"2/1/14","EV","FlyFast Airways Inc.","New Hampshire","Georgia",6,"LESS THAN 5 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-71.4797,42.991,-84.3319,33.8241,NA
"39","El Paso, TX","Chicago, IL","Blue","36-46","Female","1",2006,"13-25","<-0.75","Business travel","0",0,90,"Eco",4,"2/4/14","EV","FlyFast Airways Inc.","Illinois","Texas",20,"20 MINS TO 60 MINS","60 MINS TO 180 MINS","No","180+ Minutes","1000.0+ MILES","1",-87.8954,41.8271,-106.389,31.7802,NA
"40","Bozeman, MT","Minneapolis, MN","Blue","36-46","Female","2",2012,"<6","0.3768+","Personal Travel","1+",0,50,"Eco Plus",22,"1/22/14","DL","Sigma Airlines Inc.","Minnesota","Montana",11,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-93.2798,44.9782,-111.0576,45.6839,NA
"41","Denver, CO","Los Angeles, CA","Silver","36-46","Female","1",2003,"6-12","<-0.75","Personal Travel","1+",70,180,"Eco",16,"1/16/14","WN","Cheapseats Airlines Inc.","California","Colorado",14,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-118.1043,33.9827,-104.9551,39.7108,NA
"42","Orlando, FL","Providence, RI","Silver","36-46","Female","1",2011,"<6","0.3768+","Business travel","1",0,50,"Business",29,"3/29/14","WN","Cheapseats Airlines Inc.","Rhode Island","Florida",5,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","1",-71.3974,41.7763,-81.4112,28.5844,NA
"43","Atlanta, GA","Pittsburgh, PA","Silver","36-46","Male","1",2004,"<6","0.3768+","Business travel","1+",0,149,"Eco",14,"1/14/14","DL","Sigma Airlines Inc.","Pennsylvania","Georgia",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-79.951,40.457,-84.3319,33.8241,NA
"44","Milwaukee, WI","Chicago, IL","Blue","57-71","Male","1",2011,"26-38","-0.451 to 0.0588","Personal Travel","0",3,40,"Eco",16,"3/16/14","OO","Northwest Business Airlines Inc.","Illinois","Wisconsin",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-87.8954,41.8271,-88.1005,43.0557,NA
"45","Atlanta, GA","Baltimore, MD","Silver","<24","Female","1",2008,"13-25","-0.451 to 0.0588","Business travel","0",140,130,"Eco Plus",5,"1/5/14","DL","Sigma Airlines Inc.","Maryland","Georgia",16,"5 MINS TO 10 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-76.6478,39.2341,-84.3319,33.8241,NA
"46","Miami, FL","Washington, DC","Blue","36-46","Female","2",2008,"6-12","<-0.75","Business travel","0",0,45,"Eco",3,"1/3/14","AA","Paul Smith Airlines Inc.","Virginia","Florida",14,"5 MINS TO 10 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-77.1897,38.8974,-80.2314,26.1756,NA
"47","Salt Lake City, UT","San Francisco, CA","Blue","36-46","Male","1",2004,"13-25","-0.451 to 0.0588","Personal Travel","1+",215,95,"Eco",21,"3/21/14","OO","Northwest Business Airlines Inc.","California","Utah",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-122.1585,37.6712,-111.9295,40.6408,NA
"48","Orlando, FL","Boston, MA","Blue","57-71","Female","1",2007,"26-38","-0.451 to 0.0588","Personal Travel","0",0,150,"Eco Plus",22,"1/22/14","DL","Sigma Airlines Inc.","Massachusetts","Florida",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-71.1407,42.3731,-81.4112,28.5844,NA
"49","Phoenix, AZ","Charlotte, NC","Blue","57-71","Female","1",2003,"<6","0.3768+","Personal Travel","0",0,60,"Eco",6,"1/6/14","US","Southeast Airlines Co.","North Carolina","Arizona",17,"10 MINS TO 20 MINS","10 MINS TO 20 MINS","No","180+ Minutes","1000.0+ MILES","0",-80.8158,35.2497,-111.97,33.4941,NA
"50","New York, NY","Washington, DC","Blue","36-46","Male","1",2004,"13-25","<-0.75","Business travel","1+",50,120,"Eco",18,"2/18/14","MQ","EnjoyFlying Air Services","Virginia","New York",17,"LESS THAN 5 MINS","10 MINS TO 20 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","1",-77.1897,38.8974,-73.9702,40.7184,NA
"51","Washington, DC","Milwaukee, WI","Gold","47-58","Female","1",2008,"13-25","-0.451 to 0.0588","Business travel","1",30,75,"Eco",2,"2/2/14","FL","FlyHere Airways","Wisconsin","Virginia",10,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-88.1005,43.0557,-77.1897,38.8974,NA
"52","Santa Maria, CA","Los Angeles, CA","Blue","47-58","Female","0",2003,"38+","-0.451 to 0.0588","Business travel","0",30,45,"Business",8,"2/8/14","OO","Northwest Business Airlines Inc.","California","California",22,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-118.1043,33.9827,-120.4389,34.9118,NA
"53","Orlando, FL","Phoenix, AZ","Blue","<24","Female","2",2003,"<6","0.059 to 0.3768","Mileage tickets","0",205,30,"Eco Plus",27,"1/27/14","US","Southeast Airlines Co.","Arizona","Florida",16,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-111.97,33.4941,-81.4112,28.5844,NA
"54","Buffalo, NY","Boston, MA","Blue","57-71","Male","1",2012,"38+","-0.451 to 0.0588","Personal Travel","0",95,60,"Eco",14,"1/14/14","B6","OnlyJets Airlines Inc.","Massachusetts","New York",7,"10 MINS TO 20 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","0",-71.1407,42.3731,-78.8237,42.9249,NA
"55","Boston, MA","San Francisco, CA","Blue","57-71","Female","1",2006,"13-25","-0.451 to 0.0588","Personal Travel","0",0,150,"Eco Plus",5,"2/5/14","OU","Oursin Airlines Inc.","California","Massachusetts",12,"20 MINS TO 60 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","0",-122.1585,37.6712,-71.1407,42.3731,NA
"56","Los Angeles, CA","Seattle, WA","Blue","71+","Female","3",2008,"26-38","-0.451 to 0.0588","Personal Travel","0",0,45,"Eco",9,"2/9/14","AS","FlyToSun Airlines Inc.","Washington","California",16,"LESS THAN 5 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-122.2747,47.4684,-118.1043,33.9827,NA
"57","Minneapolis, MN","Denver, CO","Gold","47-58","Male","1",2003,"<6","<-0.75","Business travel","0",245,30,"Business",1,"1/1/14","F9","GoingNorth Airlines Inc.","Colorado","Minnesota",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-104.9551,39.7108,-93.2798,44.9782,NA
"58","Albuquerque, NM","Los Angeles, CA","Blue","47-58","Male","1",2009,"26-38","-0.451 to 0.0588","Business travel","0",0,30,"Eco",15,"2/15/14","OO","Northwest Business Airlines Inc.","California","New Mexico",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-118.1043,33.9827,-106.6281,35.1434,NA
"59","Kotzebue, AK","Anchorage, AK","Blue","71+","Female","1",2006,"26-38","-0.451 to 0.0588","Personal Travel","0",30,90,"Eco",23,"1/23/14","AS","FlyToSun Airlines Inc.","Alaska","Alaska",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-149.8472,61.1679,-162.5876,66.8939,NA
"60","New York, NY","Miami, FL","Blue","36-46","Female","1",2011,"6-12","<-0.75","Business travel","0",0,15,"Eco",22,"1/22/14","DL","Sigma Airlines Inc.","Florida","New York",12,"0-60 Mins","180+ Minutes","Yes","60 MINS TO 180 MINS","1000.0+ MILES","0",-80.2314,26.1756,-73.9702,40.7184,NA
"61","San Francisco, CA","New York, NY","Blue","71+","Female","1",2010,"38+","-0.451 to 0.0588","Personal Travel","0",0,110,"Eco",19,"1/19/14","B6","OnlyJets Airlines Inc.","New York","California",17,"10 MINS TO 20 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","0",-73.9702,40.7184,-122.1585,37.6712,NA
"62","Miami, FL","Gainesville, FL","Silver","25-35","Male","2",2012,"<6","0.3768+","Business travel","0",0,60,"Business",6,"3/6/14","MQ","EnjoyFlying Air Services","Florida","Florida",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-82.371,29.6568,-80.2314,26.1756,NA
"63","Orlando, FL","Milwaukee, WI","Blue","47-58","Female","1",2003,"6-12","0.059 to 0.3768","Business travel","1+",85,45,"Eco",13,"1/13/14","WN","Cheapseats Airlines Inc.","Wisconsin","Florida",9,"LESS THAN 5 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-88.1005,43.0557,-81.4112,28.5844,NA
"64","San Jose, CA","San Diego, CA","Blue","25-35","Female","2",2010,"13-25","<-0.75","Business travel","1+",5,60,"Business",20,"3/20/14","WN","Cheapseats Airlines Inc.","California","California",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","400 MILES TO 1000.0 MILES","1",-117.1288,32.9287,-121.9451,37.3298,NA
"65","Tucson, AZ","Houston, TX","Silver","47-58","Male","1",2003,"38+","-0.451 to 0.0588","Business travel","0",0,60,"Eco",17,"3/17/14","OO","Northwest Business Airlines Inc.","Texas","Arizona",11,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-95.3935,29.7843,-110.9461,32.2549,NA
"66","Oklahoma City, OK","Atlanta, GA","Gold","47-58","Female","1",2011,"<6","0.3768+","Personal Travel","0",0,15,"Eco",26,"3/26/14","FL","FlyHere Airways","Georgia","Oklahoma",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-84.3319,33.8241,-97.5243,35.5048,NA
"67","Charlotte, NC","Buffalo, NY","Blue","<24","Female","2",2006,"13-25","<-0.75","Personal Travel","1+",0,45,"Eco",11,"1/11/14","US","Southeast Airlines Co.","New York","North Carolina",6,"5 MINS TO 10 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-78.8237,42.9249,-80.8158,35.2497,NA
"68","San Diego, CA","Los Angeles, CA","Blue","71+","Male","1",2007,"13-25","-0.451 to 0.0588","Business travel","0",0,80,"Eco",13,"3/13/14","OO","Northwest Business Airlines Inc.","California","California",17,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-118.1043,33.9827,-117.1288,32.9287,NA
"69","San Diego, CA","Tucson, AZ","Gold","25-35","Female","1",2010,"13-25","0.3768+","Business travel","1",120,60,"Eco",13,"3/13/14","WN","Cheapseats Airlines Inc.","Arizona","California",12,"10 MINS TO 20 MINS","5 MINS TO 10 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","1",-110.9461,32.2549,-117.1288,32.9287,NA
"70","Chicago, IL","San Diego, CA","Blue","<24","Male","2",2004,"<6","0.3768+","Business travel","1+",0,45,"Eco",12,"2/12/14","AA","Paul Smith Airlines Inc.","California","Illinois",6,"LESS THAN 5 MINS","10 MINS TO 20 MINS","No","180+ Minutes","1000.0+ MILES","0",-117.1288,32.9287,-87.8954,41.8271,NA
"71","Atlanta, GA","Washington, DC","Blue","57-71","Male","1",2007,"38+","-0.451 to 0.0588","Personal Travel","0",15,106,"Eco",18,"3/18/14","DL","Sigma Airlines Inc.","Virginia","Georgia",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-77.1897,38.8974,-84.3319,33.8241,NA
"72","Williston, ND","Denver, CO","Platinum","57-71","Male","1",2011,"6-12","-0.451 to 0.0588","Mileage tickets","0",255,67,"Eco",3,"3/3/14","EV","FlyFast Airways Inc.","Colorado","North Dakota",18,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-104.9551,39.7108,-103.6327,48.1657,NA
